ES Best, ES Average 
-2.716727716727707, -77.81443530096475, 
37.571384364363446, -66.11197104777902, 
360.9878039542428, -60.86876004024535, 
160.43820532622894, -72.56245130782762, 
43.696719194006434, -69.23518572299471, 
87.03634768273704, -59.36259086584232, 
69.3906199082583, -66.89012825365698, 
79.43201376936328, -52.42449503413066, 
83.94736842105533, -64.25676077091747, 
21.954082641359904, -86.38622641461811, 
-25.372045520863317, -86.07950243135683, 
33.68028584744425, -80.50254057567014, 
149.9655915951767, -79.73565401638031, 
-18.91761760315851, -83.13432259338146, 
42.897414556877095, -78.616553665695, 
100.16209843796273, -81.82120487961792, 
-14.269428082842715, -80.78643682347867, 
35.77988233605964, -76.74669150046702, 
167.46891295628075, -73.63112606353563, 
256.1964496434172, -73.69017102031364, 
111.40939597315705, -72.08699565497778, 
109.11873593534607, -78.05134131934379, 
-9.532389638278666, -81.62251918510002, 
-16.770229218447867, -78.97703513801427, 
53.87012862468862, -76.992342312979, 
-4.110062055425717, -78.83973217467684, 
42.579710144929315, -78.00721927123071, 
9.40910940910942, -78.96113863683796, 
81.04185845020935, -74.48723432153936, 
50.55803990830745, -76.7416872166524, 
54.322012328055514, -74.17928686229729, 
11.61839463454338, -77.17895460612208, 
190.7957079152756, -71.6285456299937, 
335.08794959306664, -71.51319972185824, 
82.25718936516625, -74.44500130885214, 
154.5890075568081, -67.4580511774745, 
97.01926326461704, -64.31032475087365, 
191.12554112554386, -72.14153588334331, 
183.15412186380186, -58.434988901173, 
160.67300521998922, -69.60057465112529, 
103.38455149501878, -69.22964096680968, 
233.93501805054535, -67.69713560397192, 
116.42615382436746, -66.2859031580179, 
223.00403956356192, -60.00039617645153, 
236.51877133105899, -65.44626638746541, 
155.12892904197426, -66.62385760788871, 
25.95770536018648, -77.2346947766112, 
223.0142879090473, -67.2542069323828, 
251.4677810452438, -60.62288187638987, 
272.67703442879076, -56.20190159067579, 
373.3946608946544, -49.267047538248, 
180.05698005698264, -59.11546964904012, 
240.66849730139364, -46.24168760891056, 
238.0978865406018, -37.01681984145329, 
357.23692493641806, -36.63175924679963, 
280.79037800686825, -36.63870591787577, 
519.1369377489146, -10.185127912218912, 
380.1240100535831, -10.139124297983132, 
340.8026755852816, 0.7824926815021684, 
438.9929167543254, -2.536650398287117, 
546.5712881942725, 13.495781300768442, 
662.2665051928379, 10.773479794946661, 
543.9774225635472, 22.89045444770911, 
508.2069580731414, 51.88636862500764, 
631.982300051767, 79.63428350868679, 
620.9549878345388, 38.62049410534896, 
671.305097381407, 50.854792461058935, 
698.0990783410014, 86.49242975609098, 
