NEAT Best, NEAT Average 
-14.000, -20.370
-14.000, -20.280
-15.000, -20.280
-14.000, -20.150
-12.000, -20.020
-16.000, -20.190
-10.000, -20.300
-15.000, -20.260
-14.000, -19.920
-13.000, -20.130
-13.000, -20.180
-15.000, -20.240
-10.000, -20.150
-15.000, -20.240
-14.000, -20.240
-12.000, -20.190
-15.000, -20.270
-12.000, -20.200
-13.000, -20.140
-13.000, -20.440
-14.000, -20.140
-13.000, -20.170
-13.000, -20.250
-13.000, -20.130
-14.000, -20.230
-13.000, -20.160
-13.000, -20.190
-13.000, -20.120
-14.000, -20.370
-15.000, -20.290
-14.000, -20.260
-15.000, -20.290
-13.000, -20.220
-14.000, -20.350
-12.000, -20.090
-14.000, -20.230
-12.000, -20.040
-14.000, -20.400
-13.000, -20.310
-14.000, -20.120
-14.000, -20.230
-13.000, -20.470
-13.000, -20.170
-14.000, -20.060
-12.000, -20.370
-13.000, -20.210
-13.000, -20.200
-14.000, -20.150
-12.000, -20.210
-14.000, -20.290
-11.000, -20.380
-14.000, -20.320
-13.000, -20.070
-12.000, -20.170
-13.000, -20.210
-16.000, -20.550
-15.000, -20.220
-16.000, -20.290
-15.000, -20.420
-14.000, -20.370
-14.000, -20.340
-11.000, -20.110
-16.000, -20.330
-16.000, -20.470
-13.000, -20.510
-12.000, -20.190
-15.000, -20.160
-14.000, -20.210
-15.000, -20.380
-14.000, -20.250
-14.000, -20.290
-15.000, -20.370
-13.000, -20.220
-13.000, -20.190
-14.000, -20.430
-13.000, -20.130
-17.000, -20.370
-14.000, -20.310
-14.000, -20.420
-14.000, -20.230
-17.000, -20.480
-16.000, -20.280
-15.000, -20.320
-15.000, -20.180
-14.000, -20.160
-13.000, -20.050
-13.000, -20.130
-14.000, -20.230
-14.000, -20.200
-13.000, -20.350
-13.000, -20.270
-12.000, -20.180
-11.000, -20.230
-12.000, -20.290
-15.000, -20.250
-12.000, -20.120
-13.000, -20.240
-11.000, -20.230
-15.000, -20.220
-14.000, -20.230
-11.000, -20.080
-15.000, -20.200
-14.000, -20.290
-13.000, -20.250
-13.000, -20.330
-13.000, -19.900
-14.000, -20.310
-15.000, -20.320
-13.000, -20.410
-13.000, -20.290
-14.000, -20.280
-15.000, -20.430
-13.000, -20.110
-13.000, -20.160
-15.000, -20.350
-14.000, -20.260
-13.000, -20.230
-13.000, -20.250
-14.000, -20.070
-15.000, -20.200
-15.000, -20.330
-14.000, -20.190
-12.000, -20.190
-12.000, -19.900
-12.000, -20.140
-13.000, -19.860
-13.000, -19.970
-13.000, -20.310
-13.000, -20.110
-13.000, -20.130
-12.000, -20.120
-10.000, -20.100
-13.000, -20.130
-13.000, -19.880
-13.000, -20.210
-9.000, -19.970
-13.000, -19.970
-12.000, -20.270
-11.000, -20.140
-13.000, -20.240
-13.000, -20.230
-15.000, -20.230
-12.000, -20.130
-14.000, -20.150
-12.000, -19.920
-12.000, -20.210
-14.000, -20.190
-10.000, -20.140
-12.000, -20.390
-12.000, -20.150
-15.000, -20.260
-11.000, -20.080
-14.000, -20.200
-14.000, -20.120
-12.000, -20.040
-13.000, -20.390
-13.000, -19.960
-13.000, -20.230
-13.000, -19.870
-14.000, -20.180
-16.000, -20.560
-15.000, -20.350
-15.000, -20.460
-14.000, -20.130
-12.000, -20.030
-10.000, -20.270
-13.000, -20.120
-13.000, -20.210
-12.000, -20.150
-13.000, -20.240
-12.000, -20.220
-12.000, -19.910
-14.000, -20.170
-13.000, -20.070
-13.000, -20.240
-11.000, -20.160
-12.000, -20.110
-12.000, -20.030
-14.000, -20.030
-12.000, -19.970
-14.000, -20.060
-15.000, -20.090
-12.000, -20.040
-14.000, -20.050
-14.000, -20.210
-14.000, -20.280
-16.000, -20.330
-15.000, -20.060
-14.000, -20.010
-13.000, -19.940
-11.000, -20.110
-13.000, -19.990
-14.000, -20.120
-13.000, -19.940
-15.000, -20.180
-11.000, -20.160
-12.000, -19.910
-11.000, -19.910
-13.000, -20.080
-15.000, -19.980
-14.000, -19.910
-12.000, -19.720
-10.000, -19.760
-12.000, -19.680
-13.000, -20.170
-11.000, -19.850
-11.000, -19.930
-12.000, -19.940
-15.000, -20.250
-10.000, -20.160
-11.000, -19.900
-13.000, -19.930
-13.000, -20.050
-13.000, -20.160
-13.000, -20.090
-14.000, -19.800
-12.000, -19.860
-13.000, -20.180
-12.000, -19.860
-11.000, -19.840
-12.000, -20.090
-12.000, -20.160
-13.000, -19.960
-12.000, -20.270
-10.000, -20.010
-14.000, -20.070
-8.000, -19.760
-14.000, -19.910
-11.000, -19.920
-15.000, -19.950
-14.000, -19.930
-11.000, -19.930
-10.000, -19.840
-12.000, -20.100
-13.000, -19.910
-13.000, -19.890
-11.000, -20.120
-11.000, -20.050
-14.000, -20.240
-13.000, -20.140
-11.000, -20.050
-9.000, -20.050
-12.000, -20.150
-14.000, -20.240
-14.000, -20.340
-13.000, -20.200
-16.000, -20.290
-13.000, -20.470
-16.000, -20.480
-13.000, -20.320
-14.000, -20.390
-13.000, -20.280
-15.000, -20.220
-13.000, -20.360
-14.000, -20.390
-12.000, -20.220
-11.000, -20.270
-12.000, -20.240
-13.000, -20.380
-14.000, -20.320
-13.000, -20.240
-15.000, -20.260
-11.000, -19.930
-12.000, -19.770
-14.000, -20.390
-13.000, -20.210
-15.000, -20.420
-14.000, -20.430
-15.000, -20.400
-15.000, -20.170
-12.000, -20.160
-14.000, -20.340
-13.000, -20.250
-14.000, -20.230
-12.000, -20.260
-14.000, -20.280
-13.000, -20.280
-14.000, -20.210
-12.000, -19.990
-13.000, -20.030
-13.000, -20.020
-13.000, -20.140
-13.000, -20.250
-14.000, -20.380
-14.000, -19.860
-15.000, -20.260
-15.000, -20.210
-11.000, -20.030
-14.000, -20.170
-13.000, -19.830
-12.000, -20.090
-15.000, -20.500
-15.000, -20.290
-11.000, -20.260
-11.000, -20.050
-10.000, -20.360
-12.000, -20.300
-14.000, -20.380
-13.000, -20.170
-11.000, -20.200
-14.000, -20.220
-14.000, -20.110
-12.000, -20.120
-15.000, -20.380
-11.000, -20.270
-15.000, -20.310
-14.000, -20.390
-12.000, -20.200
-11.000, -20.130
-11.000, -19.630
-10.000, -20.180
-14.000, -20.050
-12.000, -20.250
-13.000, -20.070
-11.000, -19.980
-14.000, -20.270
-12.000, -20.160
-14.000, -20.280
-13.000, -19.900
-13.000, -20.260
-14.000, -20.200
-14.000, -20.050
-15.000, -20.070
-15.000, -20.290
-13.000, -20.210
-12.000, -20.080
-13.000, -20.370
-15.000, -20.460
-14.000, -20.230
-13.000, -19.970
-12.000, -20.140
-7.000, -20.110
-13.000, -20.090
-12.000, -19.980
-15.000, -20.130
-10.000, -20.050
-11.000, -20.130
-13.000, -20.260
-14.000, -19.970
-10.000, -20.130
-11.000, -20.110
-10.000, -19.940
-14.000, -20.040
-13.000, -19.840
-16.000, -20.350
-12.000, -20.100
-15.000, -20.200
-13.000, -20.050
-12.000, -20.120
-11.000, -20.070
-11.000, -20.330
-15.000, -20.190
-14.000, -20.300
-13.000, -20.110
-7.000, -19.810
-14.000, -20.350
-13.000, -20.170
-12.000, -20.050
-12.000, -20.330
-14.000, -20.400
-9.000, -20.280
-12.000, -20.500
-14.000, -20.490
-10.000, -20.410
-11.000, -20.320
-10.000, -20.430
-13.000, -20.140
-12.000, -20.290
-13.000, -20.340
